parameter,metal,oxide,surface
temperature,0.5174601509352135,0.5772966602702316,0.3406302819375838
H_sol_ox,0.09229820622548092,0.16121638770618094,0.10317134140381004
P_upstream,0.10087148500397147,0.05331417533736532,0.15437922421859696
k_diss_ref,0.07474922109362209,0.053969643130162254,0.1396981810956259
f_pinhole,0.09751038730256821,0.05671610515459119,0.10556135491908124
trap_vacancy_E_b,0.0879628450969765,0.08178976597191069,0.08095921310198186
K_s_ref,0.07952525470731978,0.06597473289890915,0.1050786908704829
k_diss_metal_ref,0.06332469894452661,0.09236903338728526,0.09251765808161011
trap_vacancy_N_T,0.08998277638043022,0.056088470981529165,0.09862279020858983
D_ref,0.07353679499977751,0.06670903206851919,0.10409902479977848
K_eq_metal_ref,0.07599710421386188,0.0639941823293619,0.09550616294949905
crack_thickness_factor,0.08627124772296733,0.08351731052508077,0.06368291840495532
E_diss_metal,0.0730997585336279,0.08193672500691374,0.07785994118103505
K_eq_ref,0.07203862436399656,0.08430419923476984,0.07501948140269611
f_crack,0.07307476832793953,0.06876288275928973,0.08489918240159978
trap_dislocation_N_T,0.0815152813749917,0.07268698915450915,0.06885406826965927
E_diss,0.06498853787471737,0.0759428756136234,0.07817714238303614
lattice_density,0.09164322655292353,0.05692529960235781,0.0668773870408429
E_D_ox,0.061249195009451245,0.068777375764263,0.07859465854087684
gb_thickness,0.05663134383056216,0.07482557360079495,0.07202405467322565
f_gb_defect,0.08642803018587739,0.0512534871897642,0.0643551677946884
D_ox_ref,0.07298332651988945,0.04547447894639447,0.08268802294218844
grain_size,0.0852674370316435,0.04622605986117748,0.06417238085865307
