parameter,metal,oxide,surface
P_upstream,0.18968014205474193,0.2008877328694767,0.16912204840112768
K_eq_ref,0.15335331920461645,0.17402079958271677,0.14629118686428305
H_eq,0.157237056934034,0.15060540802409728,0.10668238004505412
temperature,0.1502030208846316,0.16113405540958353,0.09746287701453112
k_diss_ref,0.09662037264309746,0.055013675995848825,0.11208862385143702
H_sol_ox,0.08995842423779603,0.05825792072973801,0.10915422186852047
trap_dislocation_E_b,0.11392914516451884,0.042952026944355716,0.0849003751975179
metal_thickness,0.10244450891248987,0.05722963678116257,0.0794947626968537
E_diss_metal,0.06192673236228833,0.06503433043997586,0.10474213404663668
E_D,0.07973096513013563,0.06861451282924319,0.08322182779947118
k_diss_metal_ref,0.08237242063851001,0.049397955531100726,0.09748344792219463
D_ox_ref,0.08346563823250801,0.060415686109586426,0.08097249105141183
gb_diffusivity_factor,0.08744390186173975,0.05610797220450659,0.08057397541261047
H_s,0.06250004509812192,0.06035915400237799,0.10106971807230672
K_s_ref,0.08812259579090938,0.04598575611823378,0.08895903669707009
lattice_density,0.03575072943054286,0.06671038720757759,0.11298441552069632
trap_dislocation_N_T,0.10162165587015698,0.04618762208040276,0.06641491036490385
E_D_ox,0.06161469963854196,0.06394935853113626,0.08764438853977713
crack_thickness_factor,0.08725839965529752,0.05646726754097092,0.06621230774157541
trap_carbide_N_T,0.06641756531450635,0.04658831403286563,0.09256116247637315
trap_carbide_E_b,0.06374640744220626,0.04894093505770952,0.09100318347731752
oxide_thickness,0.048185607182002245,0.06310269345549518,0.07837354682925177
D_ref,0.043024000357473294,0.062348414288091895,0.08397318918336916
trap_vacancy_N_T,0.03277747690159926,0.06518057929929638,0.06735539370710134
