parameter,metal,oxide,surface
temperature,0.5049035936342618,0.45515685253191984,0.3416666666666667
H_sol_ox,0.10032329988851728,0.17949295947264982,0.07466666666666666
P_upstream,0.09388625769717103,0.06726909827849586,0.18666666666666668
K_s_ref,0.0913919627692607,0.1008368970030158,0.08233333333333334
f_pinhole,0.06561019954658706,0.06527315145121967,0.13872035794183446
D_ref,0.08181006038023839,0.0696103589962857,0.10298434004474273
metal_thickness,0.08840579710144927,0.06690580093932058,0.09857494407158837
H_s,0.0955480236133869,0.07879612891365341,0.06833333333333333
trap_vacancy_N_T,0.09913664489386695,0.05985433089821984,0.07
E_diss_metal,0.07888001017560399,0.07752021115016436,0.06366666666666668
E_diss,0.060565569048206924,0.07483925187010587,0.07500000000000001
K_eq_metal_ref,0.06193740507134146,0.07041840473074415,0.07600000000000001
k_diss_ref,0.06456622746964154,0.06073677253278603,0.07999999999999999
trap_dislocation_E_b,0.07016340822877151,0.05797656513308501,0.075
trap_vacancy_E_b,0.07280450120835297,0.07080577598998525,0.057999999999999996
trap_gb_E_b,0.05885838701712644,0.0605940568056972,0.08133333333333334
f_crack,0.06626039071326495,0.07467730004420847,0.058333333333333334
f_gb_defect,0.08066186318301871,0.05175892814153714,0.06433333333333334
gb_diffusivity_factor,0.0649469895924521,0.0787085873861413,0.052131991051454135
E_D_ox,0.04688963210702341,0.07923164801302618,0.06817002237136466
H_eq_metal,0.05643135582441097,0.0757575452157749,0.06066666666666667
trap_carbide_E_b,0.06396324811264992,0.07199900444549698,0.054006711409395974
trap_carbide_N_T,0.07299536860377245,0.05477254522614165,0.054
