parameter,metal,oxide,surface
temperature,0.4540795407954079,0.4485742361512972,0.2965538328007259
H_sol_ox,0.2487585986970981,0.1928912846093021,0.28126602753777563
P_upstream,0.08603336033360334,0.046140647452019005,0.12462027064346864
f_crack,0.08828754954216209,0.04185501815653996,0.11098946620901881
H_s,0.07623798460206824,0.0636989560739232,0.09888333267579333
trap_gb_E_b,0.08753559757819801,0.03894344782913795,0.10855821201720126
trap_vacancy_E_b,0.08545946570576816,0.043940937507799406,0.1054809247642719
E_D_ox,0.08411917452507858,0.04364863162819152,0.10454639602319801
trap_vacancy_N_T,0.08607808300305225,0.048592047340694236,0.09472603595428782
gb_thickness,0.1031843651769851,0.039690879320582254,0.08499033416183374
trap_carbide_E_b,0.09821875996537743,0.037126836138024914,0.09206135505845531
k_diss_ref,0.07394657279906133,0.03742471792984682,0.11581416604200365
f_pinhole,0.09133980228691176,0.048559933607562965,0.08567088807353927
D_ox_ref,0.08083914172475058,0.048999061845998414,0.09521836903775593
trap_dislocation_E_b,0.08480251469181357,0.04302121671357437,0.09633043358188345
D_ref,0.08184137396929525,0.05483293642202497,0.08606541208032509
E_diss_metal,0.09260675940092734,0.03925164176950278,0.09079148091161347
gb_diffusivity_factor,0.09231925652589859,0.03528644846315129,0.09494384608303416
crack_thickness_factor,0.09128174615079485,0.03984266137786943,0.09110627819202799
E_D,0.08343583435834359,0.04761010636990896,0.08820570481713813
K_ox_ref,0.08887977768666576,0.03844411831226695,0.09171696847753186
K_s_ref,0.07954079540795408,0.05412981137667957,0.08418155994792284
K_eq_ref,0.0955992893262266,0.036652409589253386,0.08480786680869531
K_eq_metal_ref,0.07740077400774008,0.049381900844338605,0.0876139188069594
trap_dislocation_N_T,0.09639651952075076,0.04547283135806353,0.0697847214002972
k_diss_metal_ref,0.07304739714063807,0.04039116900876262,0.09748030667666127
trap_carbide_N_T,0.0764885426632044,0.04685934906545428,0.0754765521231967
