parameter,metal,oxide,surface
P_upstream,0.20297480752585303,0.19690051640066936,0.157424941807709
temperature,0.20693818049291604,0.1646379226650771,0.18100761431333096
K_eq_ref,0.1864835315019817,0.18675315328283282,0.12159229889138755
H_eq,0.19265637100815453,0.16650268996167478,0.11434292026669823
H_sol_ox,0.07627576275762757,0.04602702518118329,0.1409732907247406
k_diss_ref,0.08832254989216559,0.04269250198455654,0.11938296445338697
metal_thickness,0.09711847118471184,0.04489319477520387,0.10115020186478346
K_s_ref,0.08528085280852808,0.03863652888049729,0.11255769913599242
D_ref,0.08803699148102592,0.03511144859374604,0.11133467471495641
f_pinhole,0.07950829508295082,0.033441834355164714,0.11943227995423522
trap_dislocation_N_T,0.09940321625438477,0.036010399985605554,0.09317670730263936
trap_dislocation_E_b,0.0912175788424551,0.041117656971505774,0.09451233545061216
D_ox_ref,0.06995125506810623,0.04229126073464675,0.10915492957746478
f_crack,0.07534964238531275,0.033557247225151736,0.112291395431412
E_diss,0.08541752084187508,0.0462737244713863,0.08917228863376336
lattice_density,0.08391417247505809,0.04557572551188789,0.08956681264054918
K_eq_metal_ref,0.09213814360365825,0.037608068124413654,0.08915831590852302
trap_gb_N_T,0.09040590405904059,0.04067304568823531,0.0872793953262056
trap_gb_E_b,0.09323037674821193,0.036782659957772426,0.08625281098354834
crack_thickness_factor,0.09195480843697326,0.04558901425340141,0.07638971081390303
H_s,0.07745188562996741,0.05093685192354461,0.08552294157099459
k_diss_metal_ref,0.08339027834722793,0.05080351468204241,0.07532449599558133
trap_vacancy_E_b,0.07910801330235524,0.04784982319405355,0.08057906261095987
H_eq_metal,0.0916439719952755,0.04099767908941987,0.07225378414276509
