Parameter,mu_star_flux,mu_star_permeability,mu_star_theta,mu_star_flux_norm,mu_star_permeability_norm,mu_star_theta_norm,Avg_Importance
temperature,6.228830711518413,7.146793265978158,0.18524217622765504,1.0,1.0,0.5498752260061709,0.8499584086687236
P_upstream,5.398354217094625,0.5324237811692498,0.3278142120327619,0.8666721680382061,0.07449827654926279,0.9730878658433673,0.6380861034769454
K_eq_ref,0.4724531931700683,0.15117906340430237,0.336880382069761,0.07584941942576852,0.0211534121357589,1.0,0.36566761052050917
D_ref,2.6076488951424994,0.8038661961528639,0.02127048113307521,0.4186417990651777,0.1124792849374301,0.06313956604534642,0.1980868833493181
H_sol_ox,0.7411366641698994,2.837530588092491,0.02127509174317399,0.11898487830137724,0.39703549305117997,0.06315325223885657,0.19305787453047127
H_eq,0.05660825475914044,0.025609463906393154,0.18586693647218056,0.009088102949155435,0.003583350315771037,0.5517297722420991,0.1881337418356752
D_ox_ref,0.697106495447894,2.7327433491529374,0.008455279351741228,0.1119161087744443,0.3823733592745691,0.02509875849639209,0.1731294088484685
K_s_ref,2.0170184674527745,0.5373221095496004,0.016980046862920213,0.32381976021966447,0.07518366483433725,0.05040378652682718,0.1498024038602763
k_diss_ref,0.48286929038111426,0.14039272899657598,0.03023434024645523,0.0775216589990458,0.019644157004639604,0.08974799915833127,0.062304605054005556
trap_vacancy_N_T,0.8665153720166805,0.20327923336301978,0.0036713960357622347,0.13911364943894075,0.028443418719094237,0.010898218570061952,0.059485095576032314
metal_thickness,0.7895381989641226,0.06880115366220575,0.005993170005194211,0.12675544344207348,0.009626856563730357,0.01779020187632401,0.05139083396070929
H_s,0.7581306680699689,0.19033748608748224,0.0012503603008105109,0.12171315985005442,0.026632571980719156,0.0037115853797375087,0.05068577240350369
trap_vacancy_E_b,0.4840092519664468,0.1273200342169616,0.002355139578339177,0.07770467273599398,0.01781498771246963,0.006991026203038074,0.03417022888383389
K_ox_ref,0.1012059331107264,0.510336061887758,0.004882091945952789,0.01624798261471056,0.0714076989350146,0.014492063669477221,0.0340492484064008
oxide_thickness,0.40631994463318527,1.0408340855860843e-17,0.011268005751645948,0.0652321380129684,1.4563651792488623e-18,0.03344809122578285,0.032893409746250414
f_pinhole,0.49060172504555444,3.122502256758253e-17,0.0,0.07876305325465485,4.369095537746587e-18,0.0,0.026254351084884952
E_D,0.271761693043534,0.06466545555440388,0.0007914584858710649,0.04362964826463973,0.009048177713806211,0.0023493754103709433,0.018342400462938963
k_diss_metal_ref,0.18046153855994307,0.028997409334544404,0.0,0.028971976750986644,0.004057401446405995,0.0,0.011009792732464213
E_diss,0.06920752277840507,0.004643307190294158,0.00441286083257453,0.011110837006763703,0.0006497049820089687,0.013099192079581285,0.008286578022784652
trap_carbide_E_b,0.10812354379365871,0.01597049988030111,0.00029855314053874477,0.017358561951878966,0.00223463856948649,0.0008862289299972373,0.006826476483787564
lattice_density,0.0953457406096436,0.024928045663621255,0.0004717000830303235,0.015307165184844299,0.003488004302893381,0.0014002005107339379,0.00673178999949054
H_eq_metal,0.07212230906703808,0.046128797373462274,0.0,0.01157878780260777,0.006454474847209502,0.0,0.00601108754993909
trap_carbide_N_T,0.08795533076593776,0.01273085944736857,0.0005533276828234322,0.014120680885304831,0.0017813387030478401,0.0016425049135358953,0.005848174833962856
K_eq_metal_ref,0.07592377912935393,0.018232868629793595,0.0,0.01218909015924208,0.0025511957532883974,0.0,0.004913428637510159
gb_diffusivity_factor,0.07687100163095129,0.0038096693147290847,0.0,0.012341160835981734,0.0005330599575147592,0.0,0.004291406931165497
E_D_ox,0.006890394199857505,0.03559199557183284,0.0014059352253089595,0.0011062099002170217,0.004980135040601525,0.0041733959593343705,0.0034199136333843056
f_gb_defect,0.0535714739153718,0.0,0.0,0.008600566686827259,0.0,0.0,0.002866855562275753
f_crack,0.020418446925053096,1.0408340855860843e-17,0.0,0.0032780545612349217,1.4563651792488623e-18,0.0,0.0010926848537449743
crack_thickness_factor,0.018933242278066465,2.0816681711721685e-17,0.0,0.003039614199669118,2.9127303584977247e-18,0.0,0.0010132047332230404
E_diss_metal,0.013119259379427975,0.0,0.0,0.0021062154338482367,0.0,0.0,0.0007020718112827456
grain_size,0.0013907101712628755,0.00012148903722600593,3.1682573858756827e-06,0.00022326986165977522,1.6999097735812025e-05,9.4046954186237e-06,8.322455160473699e-05
gb_thickness,0.00046587189525103224,7.289006477953497e-05,8.595996233846841e-07,7.479283300949847e-05,1.019898884252373e-05,2.551646427445213e-06,2.9181156093155807e-05
trap_gb_N_T,2.2071914608512433e-12,3.058907294128943e-13,8.50206723267663e-15,3.543508505969963e-13,4.2801116252944815e-14,2.523764423573952e-14,1.407965370285602e-13
trap_gb_E_b,1.2744623065219507e-12,4.073512360758258e-13,9.82296648987269e-16,2.0460699054883653e-13,5.699776402026273e-14,2.9158618348510884e-15,8.817353880131679e-14
trap_dislocation_N_T,1.1230599783473849e-14,9.575673587391975e-16,1.5124851136493498e-16,1.8030028914907122e-15,1.3398559649089533e-16,4.489679999638997e-16,7.953188293151691e-16
trap_dislocation_E_b,5.201568342716456e-15,6.453171330633722e-16,1.6752088522640766e-17,8.350794207808002e-16,9.029464111342947e-17,4.97271120975271e-17,3.2503372466391897e-16
