regime,metric,parameter,pawn_median,delta,S1_givendata,n
metal,flux,D_ref,0.08181006038023839,0.07353679499977751,0.035284173594675304,1495
metal,flux,E_D,0.061694537346711265,0.05383576083309435,0.0032980567180572033,1495
metal,flux,K_s_ref,0.0913919627692607,0.07952525470731978,0.024160449789281162,1495
metal,flux,H_s,0.0955480236133869,0.07829470862317212,0.023851396803867726,1495
metal,flux,D_ox_ref,0.05904469035487419,0.07298332651988945,0.014325453361388123,1495
metal,flux,E_D_ox,0.04688963210702341,0.061249195009451245,0.0030343141231415596,1495
metal,flux,K_ox_ref,0.05664294853089717,0.05815335916994041,0.010293404478546871,1495
metal,flux,H_sol_ox,0.10032329988851728,0.09229820622548092,0.011032127470678124,1495
metal,flux,metal_thickness,0.08840579710144927,0.06267187750499165,0.008464324992213869,1495
metal,flux,oxide_thickness,0.0619145847829828,0.06372520987762349,0.009761515946193912,1495
metal,flux,P_upstream,0.09388625769717103,0.10087148500397147,0.032970401327510925,1495
metal,flux,f_pinhole,0.06561019954658706,0.09751038730256821,0.008372382061054406,1495
metal,flux,f_crack,0.06626039071326495,0.07307476832793953,0.006325668474795555,1495
metal,flux,f_gb_defect,0.08066186318301871,0.08642803018587739,0.006084653839367321,1495
metal,flux,crack_thickness_factor,0.06843841889070953,0.08627124772296733,0.006762344654852895,1495
metal,flux,gb_diffusivity_factor,0.0649469895924521,0.06185424571594539,0.0055875265618377514,1495
metal,flux,grain_size,0.07195498791647026,0.0852674370316435,0.009168605002332169,1495
metal,flux,gb_thickness,0.06955406911928651,0.05663134383056216,0.014077779327405945,1495
metal,flux,lattice_density,0.06474153217660658,0.09164322655292353,0.006153513388826619,1495
metal,flux,trap_dislocation_E_b,0.07016340822877151,0.05301931528573317,0.008029390588111565,1495
metal,flux,trap_dislocation_N_T,0.05313909901012323,0.0815152813749917,0.013538878994474654,1495
metal,flux,trap_gb_E_b,0.05885838701712644,0.0710245139996535,0.00371211762286723,1495
metal,flux,trap_gb_N_T,0.059565441853157056,0.07930922950054303,0.007203871883509459,1495
metal,flux,trap_vacancy_E_b,0.07280450120835297,0.0879628450969765,0.008768527562445633,1495
metal,flux,trap_vacancy_N_T,0.09913664489386695,0.08998277638043022,0.02804676633354014,1495
metal,flux,trap_carbide_E_b,0.06396324811264992,0.07567407817877941,0.012767693091310539,1495
metal,flux,trap_carbide_N_T,0.07299536860377245,0.079048742561874,0.01427967844096229,1495
metal,flux,temperature,0.5049035936342618,0.5174601509352135,0.8607878405088658,1495
metal,flux,k_diss_ref,0.06456622746964154,0.07474922109362209,0.011869680742611088,1495
metal,flux,E_diss,0.060565569048206924,0.06498853787471737,0.0061145628646478555,1495
metal,flux,K_eq_ref,0.059608089605171596,0.07203862436399656,0.03400774358071755,1495
metal,flux,H_eq,0.06113390645926391,0.06486350107919417,0.008917028194529792,1495
metal,flux,k_diss_metal_ref,0.05949361406029045,0.06332469894452661,0.012547802882592498,1495
metal,flux,E_diss_metal,0.07888001017560399,0.0730997585336279,0.012086259071456187,1495
metal,flux,K_eq_metal_ref,0.06193740507134146,0.07599710421386188,0.008128303994786958,1495
metal,flux,H_eq_metal,0.05643135582441097,0.04633112389957459,0.005248226454667616,1495
metal,permeability,D_ref,0.059947027002760875,0.059844957378016136,0.013992309278605248,1495
metal,permeability,E_D,0.059713586675944424,0.07491850752363663,0.002514789387239336,1495
metal,permeability,K_s_ref,0.06472357522838994,0.07430010975007433,0.006102575916819237,1495
metal,permeability,H_s,0.07881439249399565,0.057278090405008524,0.015627087874613838,1495
metal,permeability,D_ox_ref,0.06468317209490247,0.07611881722710173,0.03434194585248569,1495
metal,permeability,E_D_ox,0.05903309315915094,0.04693989914524547,0.006331415536647022,1495
metal,permeability,K_ox_ref,0.06924693048416422,0.0568759744239719,0.009002399807440836,1495
metal,permeability,H_sol_ox,0.2140737581647999,0.20393333254176188,0.08584518356697757,1495
metal,permeability,metal_thickness,0.07183460154280114,0.06463547744812509,0.00849948321497231,1495
metal,permeability,oxide_thickness,0.05748916971560683,0.08229638177167578,0.010528823130329368,1495
metal,permeability,P_upstream,0.07401674485421203,0.07295228219716014,0.01601173400375847,1495
metal,permeability,f_pinhole,0.08627206272960578,0.0815988316204291,0.02170029880827964,1495
metal,permeability,f_crack,0.07310542973221701,0.07676396928692211,0.014759836871653886,1495
metal,permeability,f_gb_defect,0.06927147164672698,0.0666181336544918,0.00638804069548872,1495
metal,permeability,crack_thickness_factor,0.06636109926451333,0.07936321671172303,0.005151398123370915,1495
metal,permeability,gb_diffusivity_factor,0.05598475155813936,0.04344504831614749,0.007769155705922105,1495
metal,permeability,grain_size,0.07967670011148273,0.0740262636382682,0.01329798644709455,1495
metal,permeability,gb_thickness,0.05958751393534002,0.04008517775889026,0.014935844750232153,1495
metal,permeability,lattice_density,0.0559785414468811,0.09415634256527547,0.0058877682731178545,1495
metal,permeability,trap_dislocation_E_b,0.07158477550073698,0.04331683153440226,0.007204096930928974,1495
metal,permeability,trap_dislocation_N_T,0.054234472851338915,0.055964426721581056,0.010752369128351813,1495
metal,permeability,trap_gb_E_b,0.05323337298826065,0.05368970204894965,0.004272270396859361,1495
metal,permeability,trap_gb_N_T,0.08270379265710459,0.0670847301601518,0.012787789770648454,1495
metal,permeability,trap_vacancy_E_b,0.05991852034746695,0.08305364870318137,0.005413099351126757,1495
metal,permeability,trap_vacancy_N_T,0.0567237547978721,0.07527526921241182,0.007710992562763385,1495
metal,permeability,trap_carbide_E_b,0.05863616978294539,0.07672896168207702,0.01623748378974997,1495
metal,permeability,trap_carbide_N_T,0.061070234113712374,0.06819363372014473,0.01334595341815389,1495
metal,permeability,temperature,0.4342135978990371,0.5054602705157306,0.8091061516765767,1495
metal,permeability,k_diss_ref,0.06831047563466588,0.07014854414983264,0.02175575682627733,1495
metal,permeability,E_diss,0.06629106716646839,0.06573405281820674,0.004790613162962545,1495
metal,permeability,K_eq_ref,0.06320396848555587,0.07084791634914964,0.03447391499897356,1495
metal,permeability,H_eq,0.05954636259567686,0.07972822485706042,0.009761393700115176,1495
metal,permeability,k_diss_metal_ref,0.06848383500557415,0.05844587386898681,0.013117881337428668,1495
metal,permeability,E_diss_metal,0.06268501268209467,0.06364776614572354,0.013818448456252026,1495
metal,permeability,K_eq_metal_ref,0.07185457864769215,0.07650369924558148,0.009888944801759336,1495
metal,permeability,H_eq_metal,0.06372195162098868,0.04497267609490598,0.007765958473132105,1495
