parameter,defect,metal,oxide
H_sol_ox,0.12468023457623584,0.18065459700526493,0.16750746822263574
oxide_thickness,0.10557247342080274,0.1585618026638203,0.1230247740863339
K_s_ref,0.098364465916683,0.161735922475012,0.11266668203724381
H_s,0.1091201669210323,0.14238640883480463,0.11451335426574874
trap_vacancy_N_T,0.08241172100518611,0.13434668508086578,0.13482995484657168
K_ox_ref,0.09997006373640616,0.12050294611818049,0.11594676471759406
metal_thickness,0.07377834882888556,0.17346830384885717,0.07567295391415524
D_ref,0.1065063481668532,0.1271808996720643,0.08807967494193418
trap_vacancy_E_b,0.10803773992702333,0.10292460673241126,0.07361916834022753
D_ox_ref,0.07228445446127049,0.13449563429616443,0.07061894818746052
crack_thickness_factor,0.07279268971672352,0.13237689383592774,0.06716957321615478
P_upstream,0.06967380092117378,0.09168674490347162,0.1084408324551775
f_pinhole,0.10187047646136088,0.11516659584383934,0.05008402578958801
E_D,0.07750376516751188,0.11606193574461875,0.07177553350599912
trap_gb_N_T,0.060790156833340825,0.13628966811053242,0.06335158916926971
f_gb_defect,0.11697534517149431,0.09169530332133537,0.04867627951455604
lattice_density,0.07989792655796052,0.09264979155890878,0.07790309742649858
trap_gb_E_b,0.0648209409398896,0.12119119849095325,0.04832291365418924
E_D_ox,0.05407800467970273,0.1020010109671254,0.07271884125738703
gb_thickness,0.05770079383570901,0.1262899615982298,0.03973780098838677
