parameter,defect,metal,oxide
H_sol_ox,0.13242593373165124,0.06150660409512117,0.3910723833345072
K_s_ref,0.17676809880827274,0.17722068552464493,0.10474219234056525
D_ref,0.15760673441667758,0.17371539902984043,0.08423671275059622
trap_vacancy_N_T,0.151390163598369,0.15050955926827764,0.08978020466972605
P_upstream,0.11799940925215098,0.13012717826192757,0.10899080367290877
metal_thickness,0.12286270783520259,0.1480910961919392,0.08369161457415335
trap_vacancy_E_b,0.10729974282696621,0.1019423208915112,0.08529386355682032
H_s,0.10377319403055268,0.11966229902627619,0.05849707493484219
trap_gb_E_b,0.07094819566985594,0.1250603334063202,0.06624608443225329
E_D,0.07589791923947681,0.08829736200779838,0.08826175682385812
gb_thickness,0.09451169139452549,0.07354161981835021,0.07906225866347696
lattice_density,0.10308859673749944,0.062297477538298895,0.06926021795051128
E_D_ox,0.07856385445669199,0.06672690162777893,0.0886994580447209
K_ox_ref,0.07497218862432711,0.05476711045736926,0.10153968919103956
D_ox_ref,0.09560141101606126,0.04914244950272595,0.07912795140715673
f_gb_defect,0.061794694973506405,0.06915450183382559,0.09076763089353845
trap_dislocation_E_b,0.0688508957566622,0.08170097541161009,0.06758582501862913
trap_carbide_N_T,0.0555618921909521,0.08690575068301884,0.07008550960076787
trap_gb_N_T,0.06929786601844276,0.08013566861933162,0.06079793531579973
f_crack,0.09468383430170926,0.047841125138461615,0.06181671295793644
