parameter,defect,metal,oxide
H_sol_ox,0.6470246202237339,0.5857923559800385,0.5978102111172818
D_ox_ref,0.056303216167786815,0.13967105574033586,0.09774038727259667
f_gb_defect,0.0877539268349715,0.08642909114914665,0.07102830018789691
K_ox_ref,0.09028078752109464,0.055464989642209986,0.09589032117838668
crack_thickness_factor,0.08115908757516052,0.07943651310411994,0.07798757413298998
f_crack,0.10263640883828196,0.0714345169495835,0.061161732578426484
trap_carbide_N_T,0.09025953570344804,0.0669116965058561,0.06981191443357139
lattice_density,0.08132459254325873,0.07744497991349662,0.0673586884067961
D_ref,0.05924716358029925,0.07938259077401139,0.08689749365268222
gb_diffusivity_factor,0.06076040164561208,0.0752551716739878,0.08163731334993773
trap_gb_N_T,0.07199762273543218,0.0803858300605799,0.055118144067400815
trap_gb_E_b,0.05903750672592076,0.08501979345773841,0.06006673023547032
metal_thickness,0.05920927059610852,0.06774782428105369,0.07569961948839428
E_D,0.05602509818481482,0.081389891660693,0.06432696424185746
K_s_ref,0.06149049823160487,0.03543411929650339,0.09573610520606234
trap_vacancy_E_b,0.07893540811214475,0.03370257332506195,0.07691568489994761
grain_size,0.06487879299366753,0.06040712031808137,0.06330737130523184
trap_carbide_E_b,0.06969973608945927,0.05953614332760998,0.057707424315264454
gb_thickness,0.04575410291592864,0.0468567537994348,0.0939000889684622
H_s,0.03698624345998622,0.08369073997655335,0.06055863068767097
trap_vacancy_N_T,0.04929877675328564,0.047461972225044204,0.07106923635520129
trap_dislocation_N_T,0.06309867603171472,0.050338326167336495,0.04970418912270738
