parameter,defect,metal,oxide
H_sol_ox,0.3690321406282505,0.4093648242925112,0.34883637521127264
K_s_ref,0.09910196383952578,0.11737346200669765,0.0818665070633437
D_ref,0.1038242840302337,0.10964669448458086,0.08299041035090315
D_ox_ref,0.07865673495835498,0.10094349883082278,0.10925851703406814
f_gb_defect,0.14143436654878302,0.06980360912679656,0.0767093471058448
oxide_thickness,0.08119548685209346,0.09814430205393435,0.08237472708280094
K_ox_ref,0.09341411829970182,0.08819134043635415,0.07276064433116793
f_crack,0.11660079051383399,0.0751713862593908,0.05522378089512358
f_pinhole,0.12363270818724165,0.059387645785225894,0.06356045424181697
P_upstream,0.0788039460022199,0.08001532686049181,0.07503006012024048
trap_vacancy_N_T,0.08505600965479426,0.06759573098546537,0.07692050768203074
metal_thickness,0.08264693206329438,0.06740109561170153,0.07559732440272043
trap_vacancy_E_b,0.08560432702309131,0.05370027772901391,0.07134936539746159
lattice_density,0.0845866219746681,0.06706007859235953,0.05781563126252505
grain_size,0.0661058525761043,0.06055797874495294,0.07892070494456474
H_s,0.06633710221159264,0.06809843400447427,0.0687146552613056
crack_thickness_factor,0.05820504819360654,0.06550713678041403,0.07363272406109758
trap_dislocation_E_b,0.053070858539170485,0.07664555566058544,0.061015364061456245
