parameter,defect,metal,oxide
H_sol_ox,0.14629074378566592,0.05657798981159537,0.4103694233227912
K_s_ref,0.17851500789889416,0.19196921915851325,0.08649854240694957
D_ref,0.14498892934911892,0.19684240316972587,0.08709878204696858
P_upstream,0.15451247746440705,0.13902365614583614,0.08896608572774375
metal_thickness,0.1327174330728833,0.16178809196517613,0.07496209498340536
trap_vacancy_N_T,0.10705016603797918,0.13753897019846725,0.09189321041652648
trap_vacancy_E_b,0.08747143022701587,0.09939184029181602,0.058633688307347005
K_ox_ref,0.08289797922499345,0.07357429718875502,0.06590656752573851
D_ox_ref,0.057756687919179456,0.06633531890425236,0.09144320705201534
f_pinhole,0.07217031810802968,0.07787525942696963,0.06480889576744499
H_s,0.08895122029854596,0.05248061597620909,0.06952197894033094
trap_carbide_E_b,0.0718029302152525,0.055998221072208296,0.07831740798062041
oxide_thickness,0.07374334388552398,0.060137282912410266,0.06928369557903236
f_gb_defect,0.07669170524620761,0.05634843625059522,0.06756358926048045
gb_diffusivity_factor,0.05974426404351929,0.06845053592445846,0.07196640481363864
trap_carbide_N_T,0.06670982085674029,0.06973531710735559,0.06264893388410019
trap_dislocation_E_b,0.0764583981408626,0.058473266668463565,0.059181750891595455
trap_dislocation_N_T,0.05847087778367399,0.06894540129196877,0.06586451113653186
gb_thickness,0.06374174493673479,0.06802907378956542,0.0595224076441693
lattice_density,0.08303870414567774,0.05736961267890353,0.05044501086411499
