parameter,defect,metal,oxide
H_sol_ox,0.6106006383596092,0.567161262499663,0.5510985128860777
D_ox_ref,0.07738705191311826,0.09157210497470868,0.08876000942063118
f_gb_defect,0.10979462875197472,0.07802080806447266,0.050846174550837765
K_s_ref,0.07700997012100601,0.06976227055874504,0.0867969799713908
K_ox_ref,0.08857381174578195,0.07007484075002471,0.07253465446470628
trap_vacancy_N_T,0.06875991718578042,0.06783707537083457,0.08471839041787228
f_pinhole,0.10305083350107047,0.054397994663216626,0.05987302226438111
trap_carbide_E_b,0.06247990421991777,0.06780365309111164,0.07876638028526713
oxide_thickness,0.06698658712876723,0.05786232177030269,0.08372585963259538
E_D_ox,0.07518130859363087,0.060260190650746163,0.07186294609619029
gb_thickness,0.06926018774360007,0.0807325049639273,0.05579621156046026
metal_thickness,0.05896493988911051,0.0618896166320764,0.08338940851894219
f_crack,0.08714804610200683,0.06344887379495612,0.05267828653045099
gb_diffusivity_factor,0.06691339274277663,0.06240694320907792,0.07307132112413744
D_ref,0.060904591117861256,0.0586057878044617,0.0811772424466725
P_upstream,0.0768872170361676,0.05638212806483203,0.06674348967095081
crack_thickness_factor,0.07357647811270018,0.07477112027528458,0.05061991117690599
trap_gb_N_T,0.07839249443853372,0.05974753600531881,0.05641837478917539
E_D,0.06063926146864536,0.06635490507892869,0.06559955588452998
trap_gb_E_b,0.0641182821277608,0.07052819780239526,0.05676665595811509
trap_vacancy_E_b,0.06294717195191128,0.06518018382253848,0.058886352240438825
trap_carbide_N_T,0.056371331676003306,0.060784525125108936,0.06815151044843507
