parameter,swing_med,swing_iqr,swing_max,frac_left_regime,regime,range
P_upstream,7.6955798808169265,0.40314919062307464,8.253126910408275,0.12,defect,global
D_ref,3.8606863893079435,0.3288297648458527,3.9996529451230125,0.36,defect,global
K_s_ref,2.7381338154907864,0.39033423999461725,2.999910814280081,0.36,defect,global
metal_thickness,0.884803528782371,0.153763180990674,0.9999332763502559,0.12,defect,global
trap_vacancy_N_T,0.6210041916111542,0.17230567529256924,0.9881624908748176,0.04,defect,global
H_sol_ox,0.5529613586479107,0.17254887069715558,0.945313117854728,0.36,defect,global
trap_vacancy_E_b,0.36660073280067595,0.05014242299924221,0.5067759103597852,0.08,defect,global
oxide_thickness,0.29112547648393894,0.43119895908149825,9.66632701658966,0.36,defect,global
D_ox_ref,0.2823063661781754,0.41208476170089403,0.6286078208215343,0.36,defect,global
lattice_density,0.11390723198926972,0.02332402455288797,0.1559323039934115,0.08,defect,global
K_ox_ref,0.10240697308532985,0.12605753524870894,0.24503244453606976,0.08,defect,global
H_s,0.07001711908683955,0.014489009598910113,0.08219881262702983,0.08,defect,global
gb_diffusivity_factor,0.03188038908602905,0.12885378012099039,0.23311597111044027,0.08,defect,global
trap_carbide_N_T,0.02958786995009268,0.0375778492756065,0.1729351389595589,0.0,defect,global
E_D,0.02859390223872953,0.006210830475482869,0.03355071476154376,0.04,defect,global
trap_carbide_E_b,0.027880053718580915,0.029577711257955486,0.08759065603106077,0.04,defect,global
crack_thickness_factor,0.01711580916152363,0.07944944605906062,0.17842104867305358,0.0,defect,global
f_gb_defect,0.015068410644152425,0.03524719333099385,0.11773417021659645,0.24,defect,global
f_pinhole,0.014790781635235808,0.10095734860368977,0.578555516817258,0.16,defect,global
E_D_ox,0.010899532506157958,0.014005049770685812,0.031391000546395424,0.08,defect,global
f_crack,0.007051729946154776,0.01308701310057658,0.06937319882374769,0.24,defect,global
grain_size,7.154003476872681e-05,2.7333560041775478e-05,0.0001129150661242101,0.0,defect,global
gb_thickness,2.5957657659107442e-06,3.1189005228097426e-06,6.523344441679715e-05,0.0,defect,global
