D_ref,E_D,K_s_ref,H_s,D_ox_ref,E_D_ox,K_ox_ref,H_sol_ox,metal_thickness,oxide_thickness,P_upstream,f_pinhole,f_crack,f_gb_defect,crack_thickness_factor,gb_diffusivity_factor,grain_size,gb_thickness,lattice_density,trap_dislocation_E_b,trap_dislocation_N_T,trap_gb_E_b,trap_gb_N_T,trap_vacancy_E_b,trap_vacancy_N_T,trap_carbide_E_b,trap_carbide_N_T,temperature,k_diss_ref,E_diss,K_eq_ref,H_eq,k_diss_metal_ref,E_diss_metal,K_eq_metal_ref,H_eq_metal,flux,permeability,theta,frac_surface,frac_oxide,frac_metal,PRF,D_eff,P_interface,flux_intact,flux_defect,regime,system_rate_limiting,dominant_path,target_preset
7.628059707809064e-08,76720.96146225068,0.09085134403931744,42799.92148962183,2.817982672924471e-18,70714.41653095867,0.23251086595401832,128792.08770255402,0.0032256817218721534,2.818283078932242e-06,2576873.899126931,0.06747824424303296,0.0666377933772636,0.020746279615898276,0.371584598563801,69.86015060735548,0.00046028370121487005,3.6554546199707336e-10,1.1815369234258682e+29,16774.13665523583,597212604727133.5,29441.834397814186,3.8289765142038696e+16,35386.99782883921,7.097884191522878e+27,36823.54733541772,8.283712810898261e+26,719.1744035075337,2.4927797495645307e-06,47224.32191395691,1.7219039006439324e-07,35362.73905954207,0.00012170714698520032,85401.18028286488,0.00045138158255650753,7771.514756421368,6.268467214146857e-09,6.464915420326291e-18,0.11374182794670513,9.088326060236809e-10,0.4802207459777481,0.5197792531134192,,1.4491642785895039e-11,24182.991117663874,2.810872766402373e-09,3.4575944477444836e-09,metal,mixed,mixed,metal
2.2401299377073398e-07,66303.39773349614,0.0741219590931322,10529.06459141848,3.458444586039171e-17,69742.76288216421,0.1098201345218609,93104.18745418605,0.003475996810399431,8.533948256128876e-06,8495341.366191378,0.031893745317389664,0.07168508101272685,0.08471644597969828,0.280182254420636,21.02606721183682,0.0002584739423457631,3.9819372789236594e-10,1.0171161969424992e+29,21669.13304714959,210722956708957.25,28841.005675553384,1.358877926691651e+16,49036.58175646673,1.318055462414509e+27,30469.029176920012,1.4415268217147762e+27,662.0884130996942,5.358342811298603e-06,49581.44723163477,8.922791058727486e-07,33111.97381276925,4.8624235171254324e-05,71034.74783640224,0.00028671213475020286,38515.10156744006,9.524119358699036e-09,2.3509790163423197e-18,0.3169243791490217,2.586238832270532e-09,0.21934658757879,0.7806534098349711,,8.90183640766216e-12,102.71888321383992,6.494985429983367e-10,8.874620815700699e-09,metal,metal,pinhole,metal
6.035342620620093e-08,78151.9689828736,0.0018855705045482671,49011.927524116225,3.793077013387972e-17,70540.13657196745,0.35987253401195063,135683.33006196143,0.004631948225934461,9.253245800397437e-06,6628401.131642037,0.02738836342733946,0.09763428065220867,0.012277204581750046,0.19150416834077114,36.893491696304615,4.4662833304657225e-05,5.293490992068956e-10,8.708352568973564e+28,22261.925976832616,409776915938764.2,26859.84962786783,1.589786010294585e+16,43724.61446593996,8.940699182575496e+27,37712.996240624954,7.879857492241087e+26,950.3600537617834,7.672730298148849e-06,53632.60697898404,9.540212085104195e-07,14812.014577490982,5.636079678844635e-05,96488.7339877465,0.0003341239471529075,12016.570222675793,6.23878217183335e-08,9.553410116130313e-14,0.6303418596306393,6.13392841489782e-11,0.00030859569650128904,0.9996914042421595,,2.3735744885227243e-10,6623761.085826945,5.3819754954899016e-08,8.56806676343449e-09,metal,metal,intact,metal
3.01787857360024e-07,71975.99737209057,0.09063343473776769,32107.506485746864,4.056453984701559e-17,69967.56734718604,0.34755718523615914,63049.68727016185,0.00080799819687141,7.257144236528538e-06,6097670.116940222,0.04212538591246195,0.05281514673300558,0.057555876435725045,0.06212668572409752,3.0668428535404977,0.00017112077816676288,5.002374812556249e-10,1.1852391598549398e+29,20596.88037133553,499805861407560.94,27406.317416885715,2.134564163093718e+16,43159.66936920432,4.680691440918847e+27,30146.92257080143,5.268544914954072e+25,826.172748238906,1.7610237116702899e-06,57949.6558556917,9.100069134911006e-07,39528.27816020374,3.1867408485768063e-05,81887.35689874695,0.0005241138093103348,21466.492816581635,1.829405640786164e-06,1.1568457872295166e-15,0.36450190100887553,4.3677713875163704e-07,0.333152872523708,0.6668466906991533,,4.54097486292306e-10,1205.9466581684194,3.2895517645746516e-07,1.500450464328699e-06,metal,mixed,mixed,metal
3.7718248536089614e-08,63350.03739062049,0.09828674838652729,17170.00772948433,5.643726555643683e-17,69118.85497937584,0.17052844798119338,24525.05509191381,0.0028409847836762788,7.168269310486407e-06,9190190.501953177,0.06040562145651045,0.009798757612920437,0.07549068028098474,0.2955308198630283,14.51884533229481,0.00045085283127188104,3.881276022609283e-10,1.1975115942007886e+29,21410.31522185307,460458631893417.5,29166.51600735692,4.283305464319184e+16,49111.756363823166,4.7553681971452763e+27,23357.473560691215,1.2741967445523672e+27,795.7278641341999,1.7710085348285e-06,54828.075593205154,2.3143659579327664e-09,27721.18750905108,3.411835016550116e-05,78335.97102976972,0.0003416145468467549,25808.998381347683,1.2509352330860103e-07,1.2715169037012515e-16,0.04773594806106386,4.8225805439687464e-09,0.45857964338720403,0.5414203517902154,,1.9588108359069827e-11,34060.950388956575,4.314948504198558e-08,8.194403826661545e-08,metal,mixed,mixed,metal
4.265595928005047e-07,66942.68476838188,0.005425229861127473,29969.208310016937,7.267250453122717e-17,69605.08752491184,0.18993187863945177,161015.95361459142,0.0018373296570710887,7.63195637294211e-06,2824743.2557055745,0.06495751394117556,0.03857046142990083,0.08429214820004627,0.11290409380504433,23.749560202820657,0.00041309455626974313,5.609882530537697e-10,8.466476690941463e+28,22803.725766764583,169687208235578.66,26248.482535917385,2.440551436865832e+16,42308.7751910579,3.6164596315868274e+27,30059.016820684585,1.7962171680500253e+27,1151.681208509224,9.388342265416823e-06,67054.48355909856,2.542739223278907e-07,40078.61817595447,4.768108854962123e-05,74732.76930495563,0.0003863581466660848,5096.444289849007,0.00023248950661515554,1.5253584125615097e-10,0.3157655207757218,9.854153592222094e-08,0.0022755118681436776,0.9977243895903204,,5.636065530720888e-08,2808680.5355867306,0.0001887309193059936,4.375858730916194e-05,metal,metal,intact,metal
1.7144205718526133e-07,74317.9492256114,0.019770271287688296,19377.743033958224,5.762608325587009e-17,70178.056380631,0.23751773109498292,116927.09548264214,0.00489132915608932,8.429384162278286e-06,2383445.058934017,0.042575615705101155,0.025600826540990617,0.09426928221547765,0.36528658973579703,54.31601871821411,0.0003778445052907345,6.506225030154504e-10,9.405162601317462e+28,16715.270076245815,448471764404398.4,28895.214479547656,5.399924016297038e+16,45425.265378846816,8.402991873054781e+27,25702.162467049544,1.744123404487183e+27,763.6471033256803,9.460458466004782e-06,44545.17777400439,1.934887807305431e-08,43227.290090612274,2.816743422137864e-05,76101.88831787475,0.000735867606444036,12406.112774748028,2.9453964295984975e-08,7.201773066329276e-16,0.034197738953482694,3.073081765403513e-10,0.17479273047901567,0.8252072692136762,,1.8144062893862314e-11,1475272.6630612,2.3708943785450316e-08,5.745020510534659e-09,metal,metal,intact,metal
4.2222192212239707e-07,67705.94234316256,0.07398465552918092,2120.7340715382634,5.12667269420282e-17,70694.88459854927,0.1912849595201297,42792.99607513736,0.0027217619172757133,3.5375022990970005e-06,5271231.918880476,0.0517534861382685,0.045968774637244886,0.06959720485734637,0.44352059268112726,82.43859666933332,0.000473095187622249,5.032592241228154e-10,9.447836028347057e+28,22894.680007010815,634220293576204.2,27781.17880756432,1.6604354321768736e+16,45466.29594569431,8.222874914322556e+27,26676.95222748431,1.1594035569076533e+27,1029.7337393644245,2.6321292860717495e-06,48153.05199786846,2.127778855777581e-07,18787.388700282376,9.302504029007616e-06,76016.31633763484,0.000591552451311627,20601.663458390656,4.249680433652193e-05,1.1043540907418474e-14,0.4149089373365457,3.318501774287313e-06,0.3016484225086748,0.6983482589895509,,6.401932931520364e-09,1768.0405241824255,5.859040870163583e-06,3.6637763466358345e-05,metal,mixed,mixed,metal
1.5886400404381458e-07,62475.95028090593,0.012382302491895576,2981.743760745924,6.584953335181031e-17,70201.67519913502,0.3240463234288727,147741.27706007613,0.0024782373392618386,7.130512924621974e-06,2523307.929914351,0.05752978718344272,0.070001969074722,0.035298610544824145,0.24653627543731987,36.52593123676592,0.00012632017951381657,7.993967123204041e-10,9.884661766560076e+28,20995.625810537647,122626226773223.8,25203.256164885206,5.105392484540103e+16,39918.08044602264,3.3076866086765173e+27,29441.86509739571,1.8643403604148252e+27,907.4533558668213,8.337380796537157e-06,59038.255572946306,6.075548458259898e-10,10870.611287746273,6.921252373718073e-05,76655.15865388594,0.0008621016721538392,22143.792871066762,1.402513189869479e-05,4.907839456937019e-13,0.02770946846756398,2.5748518532200224e-08,0.10382559472853665,0.8961743795229448,,2.188009327019218e-09,1939665.1675397921,1.1510639562888253e-05,2.5144923358065364e-06,metal,metal,intact,metal
1.8906438206550308e-07,74531.99308850092,0.001621341416269796,4503.530589135451,7.125742203045089e-17,69840.54665916626,0.39519765854466676,100127.95478463959,0.0037378914660170875,2.7761054953238894e-06,3969488.8162490553,0.021827486888937542,0.04837556155232725,0.0731256770501219,0.1951926454381178,63.734835863887504,0.00022674139978777345,9.185231788586282e-10,9.333715005633365e+28,20912.756442302423,171972581067339.5,26280.50265179346,2.23018373816665e+16,49134.46545747153,6.747877335354646e+26,21839.94364707806,8.026064563175685e+26,847.7974782639797,2.359607036871877e-06,45552.18208785332,1.488533256981334e-07,20484.550633468178,0.00011308039694898843,75822.35608728378,0.0001431337813410299,25715.623957156728,5.626676313174431e-07,1.458450624876382e-14,0.2774532168685877,1.2577398243026944e-09,0.04538839868145183,0.9546116000608085,,8.300015478966449e-10,3562418.054822853,4.785032776216129e-07,8.41643536958302e-08,metal,metal,intact,metal
