Parameter,mu_star_flux,mu_star_permeability,mu_star_theta,mu_star_flux_norm,mu_star_permeability_norm,mu_star_theta_norm,Avg_Importance
temperature,6.063066453466224,6.983693430265815,0.18100788630109665,1.0,1.0,0.5251213665074655,0.8417071221691552
P_upstream,5.31510970480778,0.3862595301628575,0.34469724114439226,0.8766372174214186,0.05530877522327833,1.0,0.6439819975482323
K_eq_ref,0.5250715799990533,0.22111759920295404,0.32469248165221715,0.08660165347501224,0.03166198536789692,0.9419642599234056,0.3534092995887716
D_ref,2.8854961372509775,0.9815873272423712,0.007230691468584512,0.475913658442809,0.14055418340507106,0.020976934554447466,0.2124815921341092
H_eq,0.09434404924795775,0.031217203287212617,0.19113150863712294,0.015560451130140878,0.004470013410371655,0.5544909730132094,0.19150714585124062
D_ox_ref,0.593394795437021,2.5419117930779707,0.006049078879406118,0.09787040930382353,0.3639781468730966,0.017548962269971238,0.15979917281563044
K_s_ref,2.2480867703349947,0.6131648881384444,0.005486800243281477,0.3707837919292102,0.08779951386198033,0.015917737621181247,0.1581670144707906
H_sol_ox,0.5653175938097816,2.3988465111324677,0.004842052039503149,0.09323955100089534,0.34349252799906516,0.014047260788707135,0.1502597799295559
k_diss_ref,0.8564883444153029,0.37828666154371016,0.027425652810970216,0.14126322892694881,0.05416713452860025,0.07956446857513931,0.09166494401022945
H_s,0.9201700871913169,0.28816443089777255,0.0026409085071513903,0.1517664525456851,0.04126246860277834,0.007661530734576215,0.06689681729434654
trap_vacancy_N_T,0.8607260846336064,0.22889819729044597,0.0009348172695691375,0.1419621723165402,0.032776094709205124,0.0027119952177904042,0.05915008741451191
metal_thickness,0.6842536287962198,0.037923817716608244,0.00583758180426565,0.11285603317196623,0.005430338272332321,0.016935388820882122,0.04507392008839356
oxide_thickness,0.5927737941110236,0.002153270969460594,0.005469889945701637,0.09776798566542808,0.0003083283925564063,0.015868679214088407,0.03798166442402429
trap_vacancy_E_b,0.44867865927032774,0.13693272656794364,0.0017555491557144237,0.07400193659659139,0.01960749393358346,0.005093017715738059,0.03290081608197097
K_ox_ref,0.08252578809087574,0.48039213064150355,0.0010851117491123996,0.013611229354693312,0.06878768884092021,0.0031480140238716063,0.028515644073161706
f_pinhole,0.4649460127812576,0.0,0.0,0.07668496071248738,0.0,0.0,0.025561653570829127
E_D,0.30722338304216773,0.06651053463897896,0.00015428165083373584,0.05067128744177457,0.009523690480274622,0.00044758597522139113,0.02021418796575686
E_diss,0.20363283717354846,0.0807772231736395,0.004990856002005243,0.03358578348702291,0.011566547698610095,0.014478955460843372,0.019877095548825458
K_eq_metal_ref,0.16692494116277634,0.0781972111700352,0.0,0.02753143849633154,0.011197113955653527,0.0,0.012909517483995022
k_diss_metal_ref,0.17368909699982477,0.045397288857881406,0.0,0.028647071301771337,0.006500469889061766,0.0,0.011715847063611035
trap_carbide_E_b,0.12342872183972052,0.02058610321712264,0.00040941985602949155,0.02035747468496852,0.0029477386747687015,0.0011877665590540286,0.008164326639597083
trap_carbide_N_T,0.10885632371784712,0.02518830857578193,0.0007965194151286911,0.017954004719116103,0.0036067317139983914,0.0023107797802043688,0.007957172071106288
lattice_density,0.09963193924862791,0.029219225724072748,0.0004407504709656192,0.016432598918929685,0.004183921590464288,0.001278659700038013,0.007298393403143995
H_eq_metal,0.06450178152531832,0.049426304560545406,0.0,0.010638475105025937,0.007077387496183969,0.0,0.005905287533736636
gb_diffusivity_factor,0.08167648448337772,0.01974572507787781,0.0,0.01347115112628919,0.0028274043348329287,0.0,0.005432851820374039
crack_thickness_factor,0.06858176030233001,0.007702125484161753,0.0,0.011311398420039117,0.001102872793754435,0.0,0.0041380904045978505
f_gb_defect,0.03717093711779907,6.245004513516506e-17,0.0,0.006130715769501196,8.942266117312666e-18,0.0,0.0020435719231670685
E_D_ox,0.005454546848243068,0.03188663178149717,6.010810030242048e-05,0.0008996350097935561,0.004565869349778072,0.00017437940641144105,0.0018799612553276896
f_crack,0.021886829645428783,4.163336342344337e-17,0.0,0.0036098614147493297,5.9615107448751104e-18,0.0,0.0012032871382497785
E_diss_metal,0.01137136865394454,1.0408340855860843e-17,0.0,0.001875514435017216,1.4903776862187776e-18,0.0,0.0006251714783390726
grain_size,0.0013039992442313352,0.00034794175796465376,1.2385890573795342e-06,0.00021507256340326693,4.982202633018648e-05,3.5932665235945254e-06,8.949595208568264e-05
gb_thickness,0.0005302385569047208,8.310121353556979e-05,4.1124776938581526e-08,8.745385869910533e-05,1.1899321521678934e-05,1.1930695123073099e-07,3.3157495724005e-05
trap_gb_N_T,3.2272296814073176e-12,2.904239349010851e-13,4.514378069049817e-15,5.322768117711009e-13,4.158600857856255e-14,1.309664694171069e-14,1.9565315576379138e-13
trap_gb_E_b,7.715306258454513e-13,1.7648382755197645e-13,2.1590996109942045e-16,1.2725089387802622e-13,2.5270844047525593e-14,6.263756576136235e-16,5.1049371194388486e-14
trap_dislocation_N_T,1.5103803624461065e-14,1.4467593789646571e-15,6.98543150561134e-17,2.4911162924540106e-15,2.0716249838441007e-16,2.0265411705703707e-16,9.669776359651526e-16
trap_dislocation_E_b,8.575171822622352e-15,1.2802259252708836e-15,4.7185420815870635e-18,1.4143291828378313e-15,1.8331645540490964e-16,1.3688946467693038e-17,5.371115282368114e-16
