D_ref,E_D,K_s_ref,H_s,D_ox_ref,E_D_ox,K_ox_ref,H_sol_ox,metal_thickness,oxide_thickness,P_upstream,f_pinhole,f_crack,f_gb_defect,crack_thickness_factor,gb_diffusivity_factor,grain_size,gb_thickness,lattice_density,trap_dislocation_E_b,trap_dislocation_N_T,trap_gb_E_b,trap_gb_N_T,trap_vacancy_E_b,trap_vacancy_N_T,trap_carbide_E_b,trap_carbide_N_T,temperature,k_diss_ref,E_diss,K_eq_ref,H_eq,k_diss_metal_ref,E_diss_metal,K_eq_metal_ref,H_eq_metal,flux,permeability,theta,frac_surface,frac_oxide,frac_metal,PRF,D_eff,P_interface,flux_intact,flux_defect,regime,system_rate_limiting,dominant_path
1.4131104693915701e-07,68049.55848559656,0.03686751233346499,16590.30035718956,4.4906771338784404e-17,69250.49100996998,0.27653719653329695,126566.5133107018,0.0007645493215423859,7.048214396251082e-06,7.817057689738786,0.06705597054442017,0.08262437973602688,0.0773844102036634,0.13073548696878978,39.00824920626466,2.93774731486842e-05,7.781938003827638e-10,1.0167238912816975e+29,24085.441164262906,711210760272109.1,26002.851063289603,2.2436512637292e+16,37224.07645134557,7.583455557175998e+27,28766.58507125986,3.1751973694529684e+26,1243.1715834016088,1.4796672200299439e-09,58697.08936103975,5.099014246398209e-07,48926.7174007442,1.190378065889372e-07,90347.68602471857,0.0009058287015722806,12753.521304480311,2.936231423602322e-07,1.0814708551396626e-10,6.858749998068787e-07,0.1790412989477862,1.5203740621383419e-06,0.8209571806781517,,4.162950699503146e-08,2.206642222644006e-06,2.3667171906849345e-09,2.9125642516954723e-07,metal,metal,pinhole
4.1704273265524313e-07,75723.09784238324,0.0822611076089766,14879.320566982014,9.689099564686673e-18,69953.30654758662,0.38312216736057025,33710.39299999451,0.004022159527094579,2.6392051957588187e-06,7.427884865859305,0.04502366689345835,0.0075786656951200414,0.06968793763407148,0.41957924574258987,24.97934472620739,0.0001609839833229276,8.780946613918295e-10,1.0457811934619853e+29,16460.561068853836,284316754464635.2,28768.44846433147,5.218482927001823e+16,35019.33264686282,1.7197913743046653e+27,22394.75550630743,7.071702570318289e+26,628.6703728680491,7.425632625773919e-09,41950.2161841869,5.970262935103686e-07,29014.765654151983,1.2760358303781934e-07,75273.94565875678,0.0008474739989520896,36537.83853714054,1.7605621736383973e-11,1.0052221713799563e-18,0.0003838862631553702,0.01968449485044038,0.1366627562131728,0.8436527489363869,,2.4613800877854384e-11,6.706569019947412e-05,9.072095013187448e-13,1.669841223506523e-11,metal,metal,pinhole
3.516084483004874e-07,69417.12771282082,0.008250515947389724,11071.32987812589,7.009912369249572e-18,70378.99727886642,0.12367538212742396,156996.85058903717,0.0031825214022322425,1.671411535104533e-06,2.1772797327677647,0.0007093109813157002,0.03007795122735901,0.05045089998005003,0.4426523113656707,93.82007085458659,0.00048696947327077513,9.702862702348906e-10,9.44196479068834e+28,20319.878274146085,7010134732638.395,25884.051094802242,1.325544533031887e+16,43947.199999225115,8.330070653053763e+26,32667.720074606368,5.059936419886441e+25,592.7141120486891,8.648459424737103e-09,67191.88353268859,1.5905134295560612e-07,42561.07086133002,8.49190680323008e-08,95300.60579209866,0.0006349268097524299,28073.698675305932,1.9396404043261405e-14,3.527341294636918e-21,3.792665504811312e-05,0.041191000949389024,0.7648231085977464,0.19398589045286466,,3.676558731705784e-12,1.0789950582750238e-06,2.8576710661488773e-15,1.6538732977112528e-14,oxide,mixed,mixed
2.8901147931356105e-07,77468.15768013737,0.05461517673538853,6011.252379056589,1.6523703160575036e-17,69556.33490708483,0.2899158076393684,128786.18665095948,0.00324836702749467,1.8664351117728092e-06,8.000589137609936,0.08813924769048774,0.029255851185579176,0.026209974909206887,0.38551481715110825,73.30138686616945,0.000463537786592485,5.006654825690862e-10,9.357204402835939e+28,16399.289689240064,7302367750154.832,29125.40965878861,5.4894273218507256e+16,35811.0809518864,7.503758662515106e+27,21153.44526033049,1.4287428289280798e+27,843.3765375562125,6.35825822919238e-09,55845.95050977943,9.324634724891917e-07,46254.25541339706,1.8936794603317847e-09,75535.25918708296,0.0006873909780974136,16016.32479838001,1.3140667458569048e-09,6.1702223103742016e-15,9.046040738046793e-05,0.6887506954144269,0.16322451965326534,0.148024784932308,,6.433270432426347e-10,0.01697084383271915,9.247749798253079e-10,3.892917660315969e-10,surface,surface,intact
2.933416679065416e-07,69791.894572936,0.08353972096740493,1011.7337062902619,5.98615287301252e-17,69773.5207219912,0.27964669922042257,135262.64481944832,0.004865093813973143,8.998213144187654e-06,7.134128418928049,0.060375979551922,0.0889857887496794,0.08528449689601379,0.010830576958622511,32.841886423905095,0.0004964213725281246,4.814847801308014e-10,1.1944981683339977e+29,21578.698141028108,583446199045090.0,28646.377119732362,1.1060893939222866e+16,37972.048473515766,7.148720381130727e+27,27608.148604766124,8.417705343479327e+26,863.781965906148,6.206857336106527e-10,53195.618172810275,2.3745851297623124e-07,7891.931476177424,5.989901441762807e-08,79228.32983255545,6.154729368203805e-05,29558.143509620295,2.881204137358922e-09,5.4765411222609854e-14,1.1036548234375353e-05,0.17691736738411037,0.0008163522133498428,0.8222662804025399,,1.2828696257934207e-09,4.291105573376379e-05,1.0596447792420831e-10,2.7752396594347136e-09,metal,metal,pinhole
1.0253800917990744e-07,76999.41979795597,0.05902564623543484,4199.439721326735,2.3563745140226958e-17,69940.31328504522,0.209701560105573,133894.30882439564,0.004955480257867625,4.90093489647734e-06,4.264002436392148,0.014304598368452607,0.09538048368006388,0.08107227485814618,0.10441967422906538,7.727026162055651,0.00019194214624373794,3.8559562395442276e-10,8.762858311717111e+28,18193.57652339509,535182619875271.94,28095.398095952114,3.4413807618826188e+16,42417.01636353416,2.4650146714290533e+27,37157.56814915276,1.319486183593419e+27,772.1875985591687,6.2539491537672845e-09,51093.35380938993,7.179374614422293e-07,39910.20669623057,1.22635893610054e-08,74134.87753507927,4.150291509559753e-05,16036.235309295196,1.8265077086368143e-10,5.320625137946513e-16,0.0002762208586073011,0.24056329155998984,0.47609289357770773,0.2833438148623025,,4.611626306715443e-11,0.1118006361963964,1.167869199497679e-10,6.586385091391353e-11,oxide,mixed,mixed
3.222096681083128e-07,77514.72762311432,0.05649135732211932,32854.79202743193,3.6392011796594205e-18,70922.68355936182,0.20047495245642863,140461.14518843684,0.0014822352248506086,4.956865757669987e-06,6.227144660202595,0.03037272282330867,0.03516716851497655,0.0178507424565652,0.08303921271558456,1.1872373674050296,0.00023818321736773296,7.319134824503163e-10,1.0691835485569297e+29,16765.59072454058,785500053009468.4,26567.971365805144,4.303782619349199e+16,47168.76149588955,5.746000539012008e+27,21596.840570027503,1.700977627538471e+27,1158.5682272513104,3.6543494382247955e-10,63863.11395005668,5.550131271767124e-07,24481.14484549559,1.08562298300161e-07,81448.14845419441,0.00046757016917691244,19611.61000834172,4.571716318782068e-08,5.463221059285701e-12,3.792736635346087e-07,0.19960070794840326,2.149092830237354e-06,0.8003971429587664,,2.527143730458181e-08,1.7987496036460703e-07,3.1284057412552177e-10,4.540432261369516e-08,metal,metal,pinhole
2.070830583946174e-08,67946.37586854764,0.03895119607232553,26433.837707235933,6.777231660851387e-17,70727.80023271531,0.2972976602822298,146875.55678763078,0.0005569794355651502,9.611409519221887e-06,4.919680444112454,0.0357820490847224,0.07882447377899378,0.01157213299992754,0.46178861041958247,44.6855211782186,0.00011911794873451214,8.007966851155159e-10,9.408117459349719e+28,18409.553120923418,814016718166211.6,29674.50100007722,4.2423350992990136e+16,45370.383756368465,1.319383129405222e+27,36229.86104484994,1.2352602183038741e+27,1251.5491950770256,1.5355171173985444e-09,51647.42073454309,7.023038851260987e-07,31743.881085449593,7.628165017074445e-08,99976.10920110861,0.000568750972743277,14430.542562151715,5.151894116149972e-08,3.025094649261854e-10,2.0332440766092484e-06,0.148783053615892,7.699011333592445e-07,0.8512161764829747,,9.552981736392907e-09,1.1709037209736922e-05,2.119621803917872e-09,4.939931935758185e-08,metal,metal,pinhole
3.6809915760531614e-07,72500.02997773093,0.07760028343098727,19627.55365758721,1.9884171310197295e-18,70680.8782079232,0.17091622576679436,164352.45769312122,0.004793536841646719,9.634840587183702e-06,9.782461053546943,0.003932110343429409,0.02155141123607585,0.026973841390554806,0.11912994722604703,99.45320340092579,0.00030041442316556085,6.353937946812423e-10,9.680202088608705e+28,17682.46124562891,466728792730046.56,29958.325733355254,4.080374756990821e+16,49285.53806502283,1.657344713920654e+27,32290.029566930243,1.6098365372996388e+27,1189.8623269885197,1.3074603025782567e-09,68462.56071024423,2.6543129001180635e-07,25453.07674027273,9.359027060386222e-08,70133.40480419713,7.181136390744208e-05,31328.827821372917,1.1764335837053926e-08,2.841242927228034e-11,8.746849572157078e-07,0.34122962620433295,0.00011065072283727614,0.6586597230728298,,7.677896289427462e-08,2.9329966762460884e-06,1.9114220174629576e-09,9.852913819590968e-09,metal,metal,pinhole
4.666155201294619e-08,70272.90328669657,0.03460046692123506,29485.840779882474,1.2796359660925336e-17,69422.1704314202,0.28544112451005255,70881.2294917487,0.004750793084296731,1.2828470484498067e-06,0.5381882760005805,0.03251050587478399,0.09535194064080145,0.04256319291506281,0.2439944863873912,91.62485576366497,0.00039977495054157463,6.790768338141831e-10,1.0314789505158487e+29,16877.42332151467,699314919822226.5,25253.358133208993,5.453934335602664e+16,46645.04561758784,6.893117777776529e+27,22801.922583045958,1.7779712238868287e+27,1220.6267924804044,1.4473176833357439e-09,50755.03009688541,1.4158779168892945e-08,32403.457847047706,8.575537913615535e-08,88458.36872311046,0.0009116110048141659,23351.267957328524,1.203380248925278e-09,2.803697492996127e-13,5.041609483257646e-07,0.25291988843743657,0.0001636082194276326,0.746916503343136,,5.912274678415585e-09,2.7714003902336553e-05,1.8699363551989457e-10,1.0163866134053835e-09,metal,metal,pinhole
