key,reference,gas,T_ref_K,T_min_K,T_max_K,D_ref_m2_s,E_D_J_mol,D_0_m2_s,Ks_ref_mol_m3_Pa05,H_s_J_mol,K_s0_mol_m3_Pa05,Phi_ref_mol_m_s_Pa05,Q_p_J_mol,Phi_0_mol_m_s_Pa05,thickness_m,k1_ref_clean_mol_m2_s_Pa,E_k1_clean_J_mol,k1_0_clean,k1_ref_partial_mol_m2_s_Pa,E_k1_partial_J_mol,k1_0_partial,k1_ref_oxidized_mol_m2_s_Pa,E_k1_oxidized_J_mol,k1_0_oxidized,notes
Austenitic_SS_1,"San Marchi 2007, Table 1. doi:10.1016/j.ijhydene.2006.05.008",H₂,700.0,423,700,6.16e-11,54000,,0.06495,5900,,4.004e-12,,,,,,,,,,,,,"Austenitic stainless steel, calibrated from Table 1."
Austenitic_SS_2,"San Marchi 2007, Table 1. doi:10.1016/j.ijhydene.2006.05.008",H₂,700.0,423,703,5.734e-11,53620,,0.1104,8650,,6.339e-12,,,,,,,,,,,,,"Austenitic stainless steel, calibrated from Table 1."
Austenitic_SS_3,"San Marchi 2007, Table 1. doi:10.1016/j.ijhydene.2006.05.008",H₂,623.0,373,623,1.478e-11,49300,,0.07074,6860,,1.045e-12,,,,,,,,,,,,,"Austenitic stainless steel, calibrated from Table 1."
Austenitic_SS_300series,"San Marchi 2007, Table 3. doi:10.1016/j.ijhydene.2006.05.008",H₂,623.0,373,623,2.69e-11,53900,,0.04322,5900,,1.163e-12,,,,,,,,,,,,,"Austenitic stainless steel 300 series, calibrated from Table 3."
Austenitic_SS_21Cr_6Ni_9Mn_22Cr_13Ni_5Mn,"San Marchi 2007, Table 3. doi:10.1016/j.ijhydene.2006.05.008",H₂,623.0,373,623,1.633e-11,53900,,0.07107,5900,,1.161e-12,,,,,,,,,,,,,"Austenitic SS grades 21Cr–6Ni–9Mn and 22Cr–13Ni–5Mn, calibrated from Table 3."
Austenitic_SS_A286_JBK75_aged,"San Marchi 2007, Table 3. doi:10.1016/j.ijhydene.2006.05.008",H₂,623.0,373,623,3.629e-11,53900,,0.03297,5900,,1.197e-12,,,,,,,,,,,,,"Austenitic SS A-286/JBK-75 aged, calibrated from Table 3."
metal_316L_Heat_treated_ref_cast,Forcey et al. 1988 — Heat treated reference cast 316L austenitic steel,H₂,873,523,873,2.194e-10,42500,7.66e-08,0.02723,20585,0.464,1.881e-11,63085,1.12e-07,0.005,,,,,,,,,,Data in SI units. Phi_ref = D_ref * Ks_ref. Ks_0 = Phi_0/D_0 = 1.462.
metal_316L_Commercial,Forcey et al. 1988 — Commercial 316L austenitic steel,H₂,873,523,873,7.237e-10,45500,3.82e-07,0.1171,18510,1.5,2.655e-11,64030,1.8e-07,0.005,,,,,,,,,,Data in SI units. Phi_ref = D_ref * Ks_ref. Ks_0 = Phi_0/D_0 = 0.4712.
metal_1.4914_Heat_treated_ref_cast,Forcey et al. 1988 — Heat-treated reference cast 1.4914 martensitic steel,H₂,873,523,873,1.118e-08,13490,7.17e-08,0.02179,29620,1.29,7.7e-11,43100,2.92e-08,0.005,,,,,,,,,,Martensitic steel. Phi_ref = D_ref * Ks_ref. Ks_0 = Phi_0/D_0 = 0.4073.
metal_1.4914_Commercial,Forcey et al. 1988 — Commercial 1.4914 martensitic steel,H₂,873,523,873,1.047e-08,15470,8.82e-08,0.02903,26890,1.18,9.737e-11,43270,3.78e-08,0.005,,,,,,,,,,Martensitic steel. Phi_ref = D_ref * Ks_ref. Ks_0 = Phi_0/D_0 = 0.4286. Qs vs H_s diff = 910 J/mol (rounding in source).
Nickel_unoxidized_Strehlow1974_tableI,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE I,D₂,896,873,973,,,,,,,1.872e-09,53550,,0.0009,,,,,,,,,,"Permeation rate at 1 Torr = 1.5e-3 to 1.7e-3 cm³(STP)/(h·cm²) = 1.56e-10 to 1.77e-10 mol/m/s/Pa^0.5. Activation energy range: [12.3, 12.6] kcal/mol = [51.463, 52.718] kJ/mol."
Nickel_unoxidized_Strehlow1974_tableII,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE II,D₂,896,873,973,,,,,,,1.66e-09,53550,,0.001,,,,,,,,,,"Pressure dependence exponent n = [0.51, 0.55]. Permeation rate at 1 Torr = 1.58e-2 to 1.62e-2 cm³(STP)/(h·cm²) = 1.64e-9 to 1.68e-9 mol/m/s/Pa^0.5."
Hastelloy_N_unoxidized_Strehlow1974_tableI,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE I,D₂,896,873,973,,,,,,,,,,0.0009,,,,,,,,,,"Permeation rate at 1 Torr = 1e-3 to 1e-2 cm³(STP)/(h·cm²) = 1.04e-10 to 1.04e-9 mol/m/s/Pa^0.5. Activation energy range: [17, 18] kcal/mol = [71.128, 75.312] kJ/mol."
Hastelloy_N_unoxidized_Strehlow1974_tableII,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE II,D₂,842,873,973,,,,,,,2.808e-10,,,0.0009,,,,,,,,,,"Pressure dependence exponent n = [0.50, 0.54]. Activation energy range: [17, 18] kcal/mol = [71.128, 75.312] kJ/mol."
Type304L_SS_unoxidized_Strehlow1974_tableII_970K,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE II,D₂,970,,,,,,,,,2.392e-10,,,0.0009,,,,,,,,,,Uncertainty on Phi_ref not available.
Type304L_SS_unoxidized_Strehlow1974_tableII_1058K,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE II,D₂,1058,,,,,,,,,2.392e-10,,,0.0009,,,,,,,,,,"Pressure dependence exponent n = [0.65, 0.75]. Uncertainty = (-0.4, +0.4) × 1.04e-7."
Type304L_SS_oxidized_Strehlow1974_tableII_970K,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE II,D₂,970,,,,,,,,,2.704e-11,,,0.0009,,,,,,,,,,"Pressure dependence exponent n = [0.49, 0.59]. Uncertainty = (-0.5, +0.5) × 1.04e-7."
Type406L_SS_oxidized_Strehlow1974_tableII_915K,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE II,D₂,915,,,,,,,,,1.664e-12,,,0.0009,,,,,,,,,,"Pressure dependence exponent n = [0.4, 0.6]. Uncertainty = (-0.3, +0.3) × 1.04e-7."
Incoloy800_unoxidized_Strehlow1974_tableII_922K,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE II,D₂,922,,,,,,,,,1.664e-10,,,0.0009,,,,,,,,,,"Pressure dependence exponent n = [0.56, 0.65]. Uncertainty = (-0.2, +0.2) × 1.04e-7."
Incoloy800_oxidized_Strehlow1974_tableII_922K,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE II,D₂,922,,,,,,,,,4.888e-13,,,0.0009,,,,,,,,,,"Pressure dependence exponent n = [0.91, 1.10]. Uncertainty = (-0.4, +0.4) × 1.04e-7."
Incoloy800_oxidized_Strehlow1974_tableII_804K,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE II,D₂,804,,,,,,,,,6.552e-11,,,0.0009,,,,,,,,,,"Pressure dependence exponent n = [0.49, 0.53]. Uncertainty = (-0.4, +0.4) × 1.04e-7."
CroloyT9_oxidized_Strehlow1974_tableII_846K,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE II,D₂,846,,,,,,,,,6.864e-12,,,0.0009,,,,,,,,,,"Pressure dependence exponent n = [0.63, 0.73]. Uncertainty = (-0.5, +0.5) × 1.04e-7."
CroloyT9_oxidized_Strehlow1974_tableII_843K,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE II,D₂,843,,,,,,,,,5.928e-13,,,0.0009,,,,,,,,,,"Pressure dependence exponent n = [0.83, 0.88]. Uncertainty = (-0.4, +0.4) × 1.04e-7."
CroloyT22_unoxidized_Strehlow1974_tableII_558K,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE II,D₂,558,,,,,,,,,1.872e-11,,,0.0009,,,,,,,,,,"Pressure dependence exponent n = [0.66, 0.68]. Uncertainty = (-0.1, +0.1) × 1.04e-7."
CroloyT22_unoxidized_Strehlow1974_tableII_853K,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE II,D₂,853,,,,,,,,,8.32e-10,,,0.0009,,,,,,,,,,"Pressure dependence exponent n = [0.55, 0.57]. Uncertainty = (-0.1, +0.1) × 1.04e-7."
CroloyT22_oxidized_Strehlow1974_tableII_853K,Strehlow & Savage 1974. DOI: 10.13182/NT74-A16282. TABLE II,D₂,853,,,,,,,,,6.24e-10,,,0.0009,,,,,,,,,,"Pressure dependence exponent n = [0.57, 0.61]. Uncertainty = (-0.1, +0.1) × 1.04e-7."
Incoloy800_unoxidized_Rohrig1975_1173K,Rohrig et al. 1975,D₂,1173,,,,,,,,,2.397e-10,74056,4.4415e-07,0.0033,,,,,,,,,,
Incoloy800_oxidized_Rohrig1975_1173K_v1,Rohrig et al. 1975,D₂,1173,,,,,,,,,2.397e-10,74056,4.4415e-07,0.0033,,,,,,,,,,
Incoloy800_oxidized_Rohrig1975_1173K_v2,Rohrig et al. 1975,D₂,1173,873,1223,,,,,,,5.499e-10,74056,1.049e-06,0.0033,,,,,,,,,,
Incoloy600_oxidized_Rohrig1975_1173K,Rohrig et al. 1975,D₂,1173,973,1223,,,,,,,6.627e-10,64015.2,4.5402e-07,0.0033,,,,,,,,,,
304L_SS_Rohrig1975_1173K,Rohrig et al. 1975,D₂,1173,973,1173,,,,,,,1.1844e-10,73220,2.0445e-07,0.0033,,,,,,,,,,
X15_CrNiSi_2520_oxidized_Rohrig1975_1173K,Rohrig et al. 1975,D₂,1173,773,1223,,,,,,,3.807e-10,64852,2.82e-10,0.0033,,,,,,,,,,
Hastelloy_N_oxidized_Rohrig1975_1173K_v1,Rohrig et al. 1975,D₂,1173,773,1223,,,,,,,4.23e-10,77947.92,1.173e-06,0.0033,,,,,,,,,,
