1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
5.000000 0.000000 0.000000
0.000000 5.000000 0.000000
0.000000 0.000000 5.000000
5.000000 5.000000 5.000000 Ni
1.000000 5.000000 5.000000 Ni
2.000000 5.000000 5.000000 Ni
3.000000 5.000000 5.000000 Ni
4.000000 5.000000 5.000000 Ni
5.000000 1.000000 5.000000 Ni
1.000000 1.000000 5.000000 Mo
2.000000 1.000000 5.000000 Ni
3.000000 1.000000 5.000000 Ni
4.000000 1.000000 5.000000 B
5.000000 2.000000 5.000000 Ni
1.000000 2.000000 5.000000 Ni
2.000000 2.000000 5.000000 Ni
3.000000 2.000000 5.000000 Fe
4.000000 2.000000 5.000000 Cr
5.000000 3.000000 5.000000 Mo
1.000000 3.000000 5.000000 Ni
2.000000 3.000000 5.000000 Cr
3.000000 3.000000 5.000000 Ni
4.000000 3.000000 5.000000 Ni
5.000000 4.000000 5.000000 Ni
1.000000 4.000000 5.000000 Cr
2.000000 4.000000 5.000000 Ni
3.000000 4.000000 5.000000 Ni
4.000000 4.000000 5.000000 Ni
5.000000 5.000000 1.000000 Ni
1.000000 5.000000 1.000000 Ni
2.000000 5.000000 1.000000 Ni
3.000000 5.000000 1.000000 Ni
4.000000 5.000000 1.000000 Ni
5.000000 1.000000 1.000000 Ni
1.000000 1.000000 1.000000 Ni
2.000000 1.000000 1.000000 Cr
3.000000 1.000000 1.000000 Ni
4.000000 1.000000 1.000000 Ni
5.000000 2.000000 1.000000 Al
1.000000 2.000000 1.000000 Ni
2.000000 2.000000 1.000000 Ni
3.000000 2.000000 1.000000 Ni
4.000000 2.000000 1.000000 Mo
5.000000 3.000000 1.000000 Ni
1.000000 3.000000 1.000000 Ni
2.000000 3.000000 1.000000 Ni
3.000000 3.000000 1.000000 Ni
4.000000 3.000000 1.000000 B
5.000000 4.000000 1.000000 Ni
1.000000 4.000000 1.000000 Cr
2.000000 4.000000 1.000000 Fe
3.000000 4.000000 1.000000 Mo
4.000000 4.000000 1.000000 Ni
5.000000 5.000000 2.000000 Cr
1.000000 5.000000 2.000000 Ni
2.000000 5.000000 2.000000 Ni
3.000000 5.000000 2.000000 Ni
4.000000 5.000000 2.000000 Fe
5.000000 1.000000 2.000000 Ni
1.000000 1.000000 2.000000 Ni
2.000000 1.000000 2.000000 Mo
3.000000 1.000000 2.000000 Ni
4.000000 1.000000 2.000000 Al
5.000000 2.000000 2.000000 C
1.000000 2.000000 2.000000 Al
2.000000 2.000000 2.000000 Ni
3.000000 2.000000 2.000000 Ni
4.000000 2.000000 2.000000 Mo
5.000000 3.000000 2.000000 Mo
1.000000 3.000000 2.000000 Fe
2.000000 3.000000 2.000000 Mo
3.000000 3.000000 2.000000 B
4.000000 3.000000 2.000000 Ni
5.000000 4.000000 2.000000 Ni
1.000000 4.000000 2.000000 Ni
2.000000 4.000000 2.000000 Ni
3.000000 4.000000 2.000000 C
4.000000 4.000000 2.000000 Ni
5.000000 5.000000 3.000000 Ni
1.000000 5.000000 3.000000 Ni
2.000000 5.000000 3.000000 Ni
3.000000 5.000000 3.000000 Ni
4.000000 5.000000 3.000000 Ni
5.000000 1.000000 3.000000 Ni
1.000000 1.000000 3.000000 Ni
2.000000 1.000000 3.000000 Ni
3.000000 1.000000 3.000000 Ni
4.000000 1.000000 3.000000 Ni
5.000000 2.000000 3.000000 Ni
1.000000 2.000000 3.000000 C
2.000000 2.000000 3.000000 Ni
3.000000 2.000000 3.000000 Ni
4.000000 2.000000 3.000000 Ni
5.000000 3.000000 3.000000 Ni
1.000000 3.000000 3.000000 Ni
2.000000 3.000000 3.000000 Ni
3.000000 3.000000 3.000000 Ni
4.000000 3.000000 3.000000 Ni
5.000000 4.000000 3.000000 Ni
1.000000 4.000000 3.000000 Ni
2.000000 4.000000 3.000000 Ni
3.000000 4.000000 3.000000 Ni
4.000000 4.000000 3.000000 Ni
5.000000 5.000000 4.000000 Ni
1.000000 5.000000 4.000000 Ni
2.000000 5.000000 4.000000 Ni
3.000000 5.000000 4.000000 Ni
4.000000 5.000000 4.000000 Mo
5.000000 1.000000 4.000000 Ni
1.000000 1.000000 4.000000 Ni
2.000000 1.000000 4.000000 Ni
3.000000 1.000000 4.000000 Ni
4.000000 1.000000 4.000000 Ni
5.000000 2.000000 4.000000 Ni
1.000000 2.000000 4.000000 Ni
2.000000 2.000000 4.000000 Ni
3.000000 2.000000 4.000000 Ni
4.000000 2.000000 4.000000 Fe
5.000000 3.000000 4.000000 Ni
1.000000 3.000000 4.000000 Ni
2.000000 3.000000 4.000000 Ni
3.000000 3.000000 4.000000 Mo
4.000000 3.000000 4.000000 Ni
5.000000 4.000000 4.000000 Ni
1.000000 4.000000 4.000000 Ni
2.000000 4.000000 4.000000 Ni
3.000000 4.000000 4.000000 Ni
4.000000 4.000000 4.000000 Ni
5.000000 0.500000 0.500000 Ni
1.000000 0.500000 0.500000 Ni
2.000000 0.500000 0.500000 Ni
3.000000 0.500000 0.500000 Mo
4.000000 0.500000 0.500000 C
