Distance (normalized),Distance (Angstrom),Multiplicity
0.7071,2.4572756418118384,48
1.0,3.475145865948011,22
1.2247,4.256011142026528,96
1.4142,4.914551283623677,48
1.5811,5.4945531286504,96
1.7321,6.019300154408549,32
1.8708,6.501302886015539,191
2.0,6.950291731896022,24
2.1213,7.371826925435516,144
2.2361,7.7707736708463475,96
2.3452,8.149912084821276,96
2.4495,8.512369798639654,96
2.5495,8.859884385234455,237
2.7386,9.517034468485223,96
2.8284,9.829102567247354,48
2.9155,10.131787772171426,144
3.0,10.425437597844033,96
3.0822,10.71109458802496,96
3.2404,11.260862664017935,96
