0.047541 0.000000 0.000000
0.023771 0.041172 0.000000
0.000000 0.000000 1.000000
5.000000 0.000000 0.000000
0.000000 6.000000 0.000000
0.000000 0.000000 1.000000
0.333333 0.333333 0.286506 Cr
1.333333 0.333333 0.286506 Ni
2.333333 0.333333 0.286506 Ni
3.333333 0.333333 0.286506 Al
4.333333 0.333333 0.286506 Cr
0.333333 1.333333 0.286506 Ni
1.333333 1.333333 0.286506 Fe
2.333333 1.333333 0.286506 Ni
3.333333 1.333333 0.286506 Al
4.333333 1.333333 0.286506 Ni
0.333333 2.333333 0.286506 Ni
1.333333 2.333333 0.286506 Ni
2.333333 2.333333 0.286506 Mo
3.333333 2.333333 0.286506 Ni
4.333333 2.333333 0.286506 Ni
0.333333 3.333333 0.286506 Ni
1.333333 3.333333 0.286506 Ni
2.333333 3.333333 0.286506 B
3.333333 3.333333 0.286506 Ni
4.333333 3.333333 0.286506 Mo
0.333333 4.333333 0.286506 Ni
1.333333 4.333333 0.286506 Ni
2.333333 4.333333 0.286506 Ni
3.333333 4.333333 0.286506 C
4.333333 4.333333 0.286506 Ni
0.333333 5.333333 0.286506 Mo
1.333333 5.333333 0.286506 Mo
2.333333 5.333333 0.286506 Ni
3.333333 5.333333 0.286506 Ni
4.333333 5.333333 0.286506 Ni
5.000000 6.000000 0.713494 Ni
1.000000 6.000000 0.713494 C
2.000000 6.000000 0.713494 Ni
3.000000 6.000000 0.713494 Ni
4.000000 6.000000 0.713494 Mo
5.000000 1.000000 0.713494 Ni
1.000000 1.000000 0.713494 Ni
2.000000 1.000000 0.713494 Ni
3.000000 1.000000 0.713494 Ni
4.000000 1.000000 0.713494 Ni
5.000000 2.000000 0.713494 Ni
1.000000 2.000000 0.713494 Ni
2.000000 2.000000 0.713494 Ni
3.000000 2.000000 0.713494 Mo
4.000000 2.000000 0.713494 Fe
5.000000 3.000000 0.713494 Ni
1.000000 3.000000 0.713494 Ni
2.000000 3.000000 0.713494 Ni
3.000000 3.000000 0.713494 Ni
4.000000 3.000000 0.713494 Ni
5.000000 4.000000 0.713494 Ni
1.000000 4.000000 0.713494 Ni
2.000000 4.000000 0.713494 Cr
3.000000 4.000000 0.713494 Ni
4.000000 4.000000 0.713494 Ni
5.000000 5.000000 0.713494 Ni
1.000000 5.000000 0.713494 Cr
2.000000 5.000000 0.713494 Ni
3.000000 5.000000 0.713494 Ni
4.000000 5.000000 0.713494 B
0.666667 0.666667 0.325323 Ni
1.666667 0.666667 0.325323 Fe
2.666667 0.666667 0.325323 Ni
3.666667 0.666667 0.325323 Ni
4.666667 0.666667 0.325323 Mo
0.666667 1.666667 0.325323 Ni
1.666667 1.666667 0.325323 Ni
2.666667 1.666667 0.325323 Ni
3.666667 1.666667 0.325323 Ni
4.666667 1.666667 0.325323 Mo
0.666667 2.666667 0.325323 Mo
1.666667 2.666667 0.325323 Cr
2.666667 2.666667 0.325323 Al
3.666667 2.666667 0.325323 Ni
4.666667 2.666667 0.325323 Al
0.666667 3.666667 0.325323 Ni
1.666667 3.666667 0.325323 Ni
2.666667 3.666667 0.325323 Fe
3.666667 3.666667 0.325323 Ni
4.666667 3.666667 0.325323 Mo
0.666667 4.666667 0.325323 Ni
1.666667 4.666667 0.325323 Cr
2.666667 4.666667 0.325323 B
3.666667 4.666667 0.325323 Ni
4.666667 4.666667 0.325323 Ni
0.666667 5.666667 0.325323 Ni
1.666667 5.666667 0.325323 Ni
2.666667 5.666667 0.325323 Ni
3.666667 5.666667 0.325323 Ni
4.666667 5.666667 0.325323 Ni
4.666666 5.666666 0.674677 Ni
0.666666 5.666666 0.674677 Ni
1.666666 5.666666 0.674677 Ni
2.666666 5.666666 0.674677 Ni
3.666666 5.666666 0.674677 Ni
4.666666 0.666666 0.674677 Ni
0.666666 0.666666 0.674677 Cr
1.666666 0.666666 0.674677 Ni
2.666666 0.666666 0.674677 Ni
3.666666 0.666666 0.674677 Ni
4.666666 1.666666 0.674677 B
0.666666 1.666666 0.674677 Mo
1.666666 1.666666 0.674677 Ni
2.666666 1.666666 0.674677 Ni
3.666666 1.666666 0.674677 Ni
4.666666 2.666666 0.674677 Mo
0.666666 2.666666 0.674677 Ni
1.666666 2.666666 0.674677 Ni
2.666666 2.666666 0.674677 Ni
3.666666 2.666666 0.674677 Ni
4.666666 3.666666 0.674677 Ni
0.666666 3.666666 0.674677 C
1.666666 3.666666 0.674677 C
